"No.","Time","Source","Destination","Protocol","Length","Info"
"2727","6170.607602541","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35671 Ack=80676 Win=65535 Len=0"
"2728","6171.243167608","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2729","6171.243218135","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35671 Ack=80768 Win=65535 Len=0"
"2732","6176.298521610","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2733","6176.299754519","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=80768 Ack=35917 Win=64240 Len=0"
"2734","6177.964920105","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2735","6177.965036297","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35917 Ack=80860 Win=65535 Len=0"
"2736","6193.563911677","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2737","6193.565170054","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=80860 Ack=36163 Win=64240 Len=0"
"2738","6194.299962967","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2739","6194.300028552","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=36163 Ack=80952 Win=65535 Len=0"
"2740","6199.214276731","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2741","6199.215187694","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=80952 Ack=36409 Win=64240 Len=0"
"2742","6199.733272206","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2743","6199.733353181","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=36409 Ack=81044 Win=65535 Len=0"
"2744","6200.365326324","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2745","6200.365384084","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=36409 Ack=81479 Win=65535 Len=0"
"2746","6239.728944552","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2747","6239.729916402","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=81479 Ack=36655 Win=64240 Len=0"
"2748","6240.366262928","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2749","6240.366319736","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=36655 Ack=81571 Win=65535 Len=0"
